text,true_label,pred_label,match,latency_sec,emissions_kgco2
The system shall filter data by: Venues and Key Events....,F,"UNKNOWN_RESPONSE_[F] ""THE SYSTEM SHAL",False,18.714650869369507,
The system shall allow a user to define the time segments...,F,"UNKNOWN_RESPONSE_[F] ""THE SYSTEM SHAL",False,4.615253925323486,
The system shall display the local and exercise time in separate clocks...,F,F,True,4.413642168045044,
The system shall offer the ability to pause and resume the refresh of data....,F,F,True,4.289584159851074,
The system shall provide charts for the Activity or Event actual versus assumed time....,F,"UNKNOWN_RESPONSE_[F] ""THE SYSTEM SHAL",False,5.193947792053223,
The system shall provide a history report of changes made to the Activity or Event data...,F,"UNKNOWN_RESPONSE_[F] ""THE SYSTEM SHAL",False,5.454240083694458,
The look and feel of the system shall conform to the user interface standards of the smart device....,NF,"UNKNOWN_RESPONSE_[F] ""THE LOOK AND FE",False,7.132613897323608,
The user interface shall have standard menus  buttons for navigation...,NF,"UNKNOWN_RESPONSE_[F] ""THE USER INTERF",False,5.077301263809204,
The system shall have a professional appearance...,NF,"UNKNOWN_RESPONSE_[NF] ""THE SYSTEM SHA",False,4.8864359855651855,
The product shall have a consistent color scheme and fonts....,NF,UNKNOWN_RESPONSE_[F] THE PRODUCT SHAL,False,4.956121206283569,
The system shall be used by realtors with no training....,NF,"UNKNOWN_RESPONSE_[F] ""THE SYSTEM SHAL",False,5.978521108627319,
The system shall be intuitive and self explanatory....,NF,UNKNOWN_RESPONSE_[F] THE SYSTEM SHALL,False,5.2391579151153564,
The product shall be easy for a realtor to learn....,NF,UNKNOWN_RESPONSE_[F] THE PRODUCT SHAL,False,4.349300146102905,
The product shall use symbols and words that are naturally understandable by the realtor community....,NF,"UNKNOWN_RESPONSE_[F] ""THE PRODUCT SHA",False,6.123800754547119,
The product shall produce search results in an acceptable time...,NF,"UNKNOWN_RESPONSE_[F] ""THE PRODUCT SHA",False,4.861746072769165,
The search results shall be returned no later 30      seconds  after the user has entered the search...,NF,"UNKNOWN_RESPONSE_[NF] ""SEARCH RESULTS",False,7.353501319885254,
